,Fecha,Anio,Mes,Estacion,Precipitacion,Temperatura,Humedad,BrilloSolar
0,2/1/1985,1985,2,2120629,39.5,11.1,86.0,124.0
1,2/1/1986,1986,2,2120629,68.1,11.4,79.86,120.4
2,2/1/1987,1987,2,2120629,24.0,12.22,79.86,136.16
3,2/1/1988,1988,2,2120629,111.7,12.22,79.86,136.16
4,2/1/1989,1989,2,2120629,145.0,12.22,79.86,136.16
5,2/1/1990,1990,2,2120629,156.0,12.22,79.86,136.16
6,2/1/1991,1991,2,2120629,36.2,14.3,75.0,149.8
7,2/1/1992,1992,2,2120629,27.7,13.8,76.0,156.9
8,2/1/1993,1993,2,2120629,174.3,10.7,83.0,147.5
9,2/1/1994,1994,2,2120629,72.2,12.6,81.0,126.8
10,2/1/1995,1995,2,2120629,38.0,12.6,75.0,171.2
11,2/1/1996,1996,2,2120629,29.1,11.9,71.0,110.1
12,2/1/1997,1997,2,2120629,33.0,14.2,69.0,166.0
13,2/1/1998,1998,2,2120629,69.3,14.4,68.0,170.5
14,2/1/1999,1999,2,2120629,67.3,11.9,83.0,86.2
15,2/1/2000,2000,2,2120629,24.1,12.4,90.0,116.6
16,2/1/2001,2001,2,2120629,35.3,13.0,85.0,107.5
17,2/1/2002,2002,2,2120629,27.8,13.1,60.0,180.4
18,2/1/2003,2003,2,2120629,111.2,13.1,85.0,167.1
19,2/1/2004,2004,2,2120629,76.0,12.22,79.86,172.9
20,2/1/2005,2005,2,2120629,40.2,12.22,79.86,153.6
21,2/1/2006,2006,2,2120629,26.0,12.6,84.0,166.8
22,2/1/2007,2007,2,2120629,31.0,11.7,85.0,136.16
23,2/1/2008,2008,2,2120629,51.0,11.5,90.0,144.2
24,2/1/2009,2009,2,2120629,44.0,12.8,86.0,146.9
25,2/1/2010,2010,2,2120629,22.5,13.2,89.0,160.8
26,2/1/2011,2011,2,2120629,61.0,12.4,91.0,115.6
27,2/1/2012,2012,2,2120629,52.4,12.3,80.0,169.4
28,2/1/2013,2013,2,2120629,102.1,12.5,90.0,114.1
29,2/1/2014,2014,2,2120629,49.4,12.9,87.0,151.5
30,2/1/2015,2015,2,2120629,31.2,13.0,85.0,160.4
31,2/1/2016,2016,2,2120629,101.0,13.3,91.0,155.2
32,2/1/2017,2017,2,2120629,130.7,13.2,84.0,181.4
33,2/1/2018,2018,2,2120629,89.9,12.0,93.0,127.1
34,2/1/2019,2019,2,2120629,64.3,12.7,94.0,136.16
35,2/1/1996,1996,2,2119514,81.99,17.78,71.77,116.74
36,2/1/1997,1997,2,2119514,17.1,20.2,75.0,155.0
37,2/1/1998,1998,2,2119514,37.0,21.5,63.0,161.9
38,2/1/1999,1999,2,2119514,164.9,15.3,77.0,91.8
39,2/1/2000,2000,2,2119514,144.0,18.8,68.0,126.9
40,2/1/2001,2001,2,2119514,19.4,21.8,59.0,116.74
41,2/1/2002,2002,2,2119514,81.99,20.5,53.0,142.9
42,2/1/2003,2003,2,2119514,156.8,17.8,71.77,116.74
43,2/1/2004,2004,2,2119514,52.8,22.3,59.0,116.74
44,2/1/2006,2006,2,2119514,90.9,15.7,92.0,116.74
45,2/1/2007,2007,2,2119514,81.99,20.6,72.0,189.9
46,2/1/2008,2008,2,2119514,117.0,17.3,84.0,144.5
47,2/1/2009,2009,2,2119514,57.1,18.4,84.0,101.6
48,2/1/2010,2010,2,2119514,15.5,17.78,73.0,116.74
49,2/1/2011,2011,2,2119514,198.6,18.7,88.0,109.1
50,2/1/2012,2012,2,2119514,63.4,18.9,81.0,103.3
51,2/1/2013,2013,2,2119514,146.7,19.1,84.0,105.8
52,2/1/2014,2014,2,2119514,98.7,19.3,82.0,135.2
53,2/1/2015,2015,2,2119514,81.7,22.7,75.0,172.1
54,2/1/2016,2016,2,2119514,96.6,21.1,75.0,137.3
55,2/1/2017,2017,2,2119514,118.6,20.5,74.0,190.4
56,2/1/2018,2018,2,2119514,158.6,18.5,82.0,127.9
57,2/1/2019,2019,2,2119514,50.4,20.0,79.0,139.2
58,2/1/1985,1985,2,2401513,6.2,12.3,71.0,194.2
59,2/1/1986,1986,2,2401513,45.4,11.6,66.75,163.9
60,2/1/1987,1987,2,2401513,0.0,13.76,66.75,170.85
61,2/1/1988,1988,2,2401513,47.3,13.76,66.75,170.85
62,2/1/1989,1989,2,2401513,51.0,13.76,66.75,170.85
63,2/1/1990,1990,2,2401513,72.5,13.76,66.75,170.85
64,2/1/1991,1991,2,2401513,10.9,16.3,62.0,193.2
65,2/1/1992,1992,2,2401513,8.5,15.1,71.0,197.6
66,2/1/1993,1993,2,2401513,24.7,15.4,69.0,206.0
67,2/1/1994,1994,2,2401513,61.0,13.1,71.0,160.3
68,2/1/1995,1995,2,2401513,23.0,13.5,71.0,177.5
69,2/1/1996,1996,2,2401513,53.1,13.0,64.0,153.9
70,2/1/1997,1997,2,2401513,27.9,13.7,55.0,184.1
71,2/1/1998,1998,2,2401513,80.9,16.4,63.0,187.6
72,2/1/1999,1999,2,2401513,78.0,16.1,79.0,37.0
73,2/1/2000,2000,2,2401513,23.0,13.76,66.75,170.85
74,2/1/2001,2001,2,2401513,17.0,16.1,55.0,160.8
75,2/1/2002,2002,2,2401513,40.3,14.7,62.0,201.7
76,2/1/2003,2003,2,2401513,58.7,15.5,68.0,202.9
77,2/1/2006,2006,2,2401513,10.0,13.0,67.0,214.2
78,2/1/2007,2007,2,2401513,10.0,14.0,44.0,243.5
79,2/1/2008,2008,2,2401513,29.0,14.3,68.0,190.4
80,2/1/2009,2009,2,2401513,55.0,13.2,73.0,180.2
81,2/1/2010,2010,2,2401513,69.9,15.1,69.0,205.9
82,2/1/2011,2011,2,2401513,90.3,12.9,76.0,148.9
