Fecha,Anio,Mes,Estacion,Precipitacion,Temperatura,Humedad,BrilloSolar
2/1/1985,1985,2,2120629,39.5,11.1,86,124
2/1/1986,1986,2,2120629,68.1,11.4,79.86,120.4
2/1/1987,1987,2,2120629,24,12.22,79.86,136.16
2/1/1988,1988,2,2120629,111.7,12.22,79.86,136.16
2/1/1989,1989,2,2120629,145,12.22,79.86,136.16
2/1/1990,1990,2,2120629,156,12.22,79.86,136.16
2/1/1991,1991,2,2120629,36.2,14.3,75,149.8
2/1/1992,1992,2,2120629,27.7,13.8,76,156.9
2/1/1993,1993,2,2120629,174.3,10.7,83,147.5
2/1/1994,1994,2,2120629,72.2,12.6,81,126.8
2/1/1995,1995,2,2120629,38,12.6,75,171.2
2/1/1996,1996,2,2120629,29.1,11.9,71,110.1
2/1/1997,1997,2,2120629,33,14.2,69,166
2/1/1998,1998,2,2120629,69.3,14.4,68,170.5
2/1/1999,1999,2,2120629,67.3,11.9,83,86.2
2/1/2000,2000,2,2120629,24.1,12.4,90,116.6
2/1/2001,2001,2,2120629,35.3,13,85,107.5
2/1/2002,2002,2,2120629,27.8,13.1,60,180.4
2/1/2003,2003,2,2120629,111.2,13.1,85,167.1
2/1/2004,2004,2,2120629,76,12.22,79.86,172.9
2/1/2005,2005,2,2120629,40.2,12.22,79.86,153.6
2/1/2006,2006,2,2120629,26,12.6,84,166.8
2/1/2007,2007,2,2120629,31,11.7,85,136.16
2/1/2008,2008,2,2120629,51,11.5,90,144.2
2/1/2009,2009,2,2120629,44,12.8,86,146.9
2/1/2010,2010,2,2120629,22.5,13.2,89,160.8
2/1/2011,2011,2,2120629,61,12.4,91,115.6
2/1/2012,2012,2,2120629,52.4,12.3,80,169.4
2/1/2013,2013,2,2120629,102.1,12.5,90,114.1
2/1/2014,2014,2,2120629,49.4,12.9,87,151.5
2/1/2015,2015,2,2120629,31.2,13,85,160.4
2/1/2016,2016,2,2120629,101,13.3,91,155.2
2/1/2017,2017,2,2120629,130.7,13.2,84,181.4
2/1/2018,2018,2,2120629,89.9,12,93,127.1
2/1/2019,2019,2,2120629,64.3,12.7,94,136.16
2/1/1996,1996,2,2119514,81.99,17.78,71.77,116.74
2/1/1997,1997,2,2119514,17.1,20.2,75,155
2/1/1998,1998,2,2119514,37,21.5,63,161.9
2/1/1999,1999,2,2119514,164.9,15.3,77,91.8
2/1/2000,2000,2,2119514,144,18.8,68,126.9
2/1/2001,2001,2,2119514,19.4,21.8,59,116.74
2/1/2002,2002,2,2119514,81.99,20.5,53,142.9
2/1/2003,2003,2,2119514,156.8,17.8,71.77,116.74
2/1/2004,2004,2,2119514,52.8,22.3,59,116.74
2/1/2006,2006,2,2119514,90.9,15.7,92,116.74
2/1/2007,2007,2,2119514,81.99,20.6,72,189.9
2/1/2008,2008,2,2119514,117,17.3,84,144.5
2/1/2009,2009,2,2119514,57.1,18.4,84,101.6
2/1/2010,2010,2,2119514,15.5,17.78,73,116.74
2/1/2011,2011,2,2119514,198.6,18.7,88,109.1
2/1/2012,2012,2,2119514,63.4,18.9,81,103.3
2/1/2013,2013,2,2119514,146.7,19.1,84,105.8
2/1/2014,2014,2,2119514,98.7,19.3,82,135.2
2/1/2015,2015,2,2119514,81.7,22.7,75,172.1
2/1/2016,2016,2,2119514,96.6,21.1,75,137.3
2/1/2017,2017,2,2119514,118.6,20.5,74,190.4
2/1/2018,2018,2,2119514,158.6,18.5,82,127.9
2/1/2019,2019,2,2119514,50.4,20,79,139.2
2/1/1985,1985,2,2401513,6.2,12.3,71,194.2
2/1/1986,1986,2,2401513,45.4,11.6,66.75,163.9
2/1/1987,1987,2,2401513,0,13.76,66.75,170.85
2/1/1988,1988,2,2401513,47.3,13.76,66.75,170.85
2/1/1989,1989,2,2401513,51,13.76,66.75,170.85
2/1/1990,1990,2,2401513,72.5,13.76,66.75,170.85
2/1/1991,1991,2,2401513,10.9,16.3,62,193.2
2/1/1992,1992,2,2401513,8.5,15.1,71,197.6
2/1/1993,1993,2,2401513,24.7,15.4,69,206
2/1/1994,1994,2,2401513,61,13.1,71,160.3
2/1/1995,1995,2,2401513,23,13.5,71,177.5
2/1/1996,1996,2,2401513,53.1,13,64,153.9
2/1/1997,1997,2,2401513,27.9,13.7,55,184.1
2/1/1998,1998,2,2401513,80.9,16.4,63,187.6
2/1/1999,1999,2,2401513,78,16.1,79,37
2/1/2000,2000,2,2401513,23,13.76,66.75,170.85
2/1/2001,2001,2,2401513,17,16.1,55,160.8
2/1/2002,2002,2,2401513,40.3,14.7,62,201.7
2/1/2003,2003,2,2401513,58.7,15.5,68,202.9
2/1/2006,2006,2,2401513,10,13,67,214.2
2/1/2007,2007,2,2401513,10,14,44,243.5
2/1/2008,2008,2,2401513,29,14.3,68,190.4
2/1/2009,2009,2,2401513,55,13.2,73,180.2
2/1/2010,2010,2,2401513,69.9,15.1,69,205.9
2/1/2011,2011,2,2401513,90.3,12.9,76,148.9
2/1/2012,2012,2,2401513,42.2,13.3,78,227.8
2/1/2013,2013,2,2401513,36.6,14.2,75,177.6
2/1/2014,2014,2,2401513,107,14.3,76,190.2
2/1/2015,2015,2,2401513,19.8,13.8,76,180.2
2/1/2016,2016,2,2401513,12,15.5,76,170.85
2/1/2017,2017,2,2401513,36.8,13.5,76,200.9
2/1/2018,2018,2,2401513,67.3,14.2,79,184.4
2/1/2019,2019,2,2401513,48.3,15,75,189.7
2/1/1967,1967,2,2120557,52.5,11.8,84,156.2
2/1/1968,1968,2,2120557,35.4,11.5,83,147.2
2/1/1969,1969,2,2120557,7.5,11.9,84,160.4
2/1/1970,1970,2,2120557,17,11.6,82,168.3
2/1/1971,1971,2,2120557,65.5,16.9,83,133.5
2/1/1972,1972,2,2120557,75.9,11.6,85,176.1
2/1/1973,1973,2,2120557,4.4,13.6,76,184.5
2/1/1974,1974,2,2120557,32.2,12.5,85,130.3
2/1/1975,1975,2,2120557,79.8,12.4,85,112.8
2/1/1976,1976,2,2120557,56.4,12.4,80,170.4
2/1/1977,1977,2,2120557,14,12.5,74,169
2/1/1978,1978,2,2120557,8.1,12.9,76,171.8
2/1/1979,1979,2,2120557,19.5,11.7,72,165.3
