OBJECTID,CODIGO,NOMBRE,CODIGO_PRO,RULEID,SHAPE_Length,SHAPE_Area
1,25120,CABRERA,251100,1,110302.0308,420528512
2,25506,VENECIA,251100,1,54016.60584,122203316.4
3,25649,SAN BERNARDO,251100,1,96936.16246,246282579.1
4,25524,PANDI,251100,1,44980.82948,71697582.93
5,25053,ARBELÁEZ,251100,1,89636.2019,141812551.2
6,25339,GUTIÉRREZ,251700,1,131968.8652,443165226.8
7,25335,GUAYABETAL,251700,1,91791.63124,222817827.2
8,25281,FOSCA,251700,1,57409.94264,111203545.2
9,25488,NILO,251300,1,92945.99295,224703811.8
10,25612,RICAURTE,251300,1,83703.16382,128114865.1
11,25793,TAUSA,250400,1,106589.9106,201308889.7
12,25398,LA PEÑA,250200,1,63569.75631,128962016.8
13,25805,TIBACUY,251100,1,47920.16664,84749258.54
14,25535,PASCA,251100,1,79081.32146,269617592.2
15,25594,QUETAME,251700,1,65621.74147,137788424.2
16,25001,AGUA DE DIOS,251300,1,52441.52735,85745327.76
17,25290,FUSAGASUGÁ,251100,1,113410.8298,193679839.1
18,25845,UNE,251700,1,97751.19351,212081863.9
19,25871,VILLAGÓMEZ,250100,1,53037.37976,62895078.72
20,25873,VILLAPINZÓN,250500,1,89392.19955,225778569.1
21,25307,GIRARDOT,251300,1,76596.97735,130352273.8
22,25151,CÁQUEZA,251700,1,63995.10274,111553908.9
23,25483,NARIÑO,251300,1,57760.29622,55131310.37
24,25743,SILVANIA,251100,1,62701.27046,162956752.6
25,25178,CHIPAQUE,251700,1,78866.6369,146204953.4
26,25878,VIOTÁ,251200,1,81207.77918,201278849.3
27,25740,SIBATÉ,251500,1,60164.10818,122039723.2
28,25312,GRANADA,251100,1,43257.12989,60704566.28
29,25841,UBAQUE,251700,1,58600.73221,106630671.2
30,25324,GUATAQUÍ,251300,1,63741.05199,90963467.57
31,25815,TOCAIMA,251300,1,113581.8702,245851687.2
32,25245,EL COLEGIO,251200,1,57627.989,118276403.7
33,25599,APULO,251200,1,79215.96396,121998079.7
34,25754,SOACHA,251500,1,100356.2165,187884775.3
35,25035,ANAPOIMA,251200,1,74772.92519,124544877.6
36,25645,SAN ANTONIO DEL TEQUENDAMA,251200,1,41701.53523,88573180.06
37,25181,CHOACHÍ,251700,1,82957.6049,212682375.6
38,25368,JERUSALÉN,251300,1,79230.05466,221860181.9
39,25438,MEDINA,251800,1,160572.9858,1196749490
40,25279,FÓMEQUE,251700,1,109061.7652,461359792.3
41,25797,TENA,251200,1,43820.84518,51437231.73
42,25386,LA MESA,251200,1,65474.72264,147689195.8
43,25473,MOSQUERA,250700,1,72272.19053,106174093.3
44,25530,PARATEBUENO,251800,1,198520.0366,885523511.4
45,25580,PULÍ,250300,1,73658.9226,197687884.5
46,25099,BOJACÁ,250700,1,55156.12142,102318131.5
47,25839,UBALÁ,250800,1,162132.1868,522458625.6
48,25123,CACHIPAY,251200,1,46781.491,53402481.17
