Fecha,Anio,Mes,Estacion,Precipitacion
2021-01-01,2021,1,2119514,73.88384246826172
2021-02-01,2021,2,2119514,63.79996109008789
2021-03-01,2021,3,2119514,72.38174438476562
2021-04-01,2021,4,2119514,13.947149276733398
2021-05-01,2021,5,2119514,68.57105255126953
2021-06-01,2021,6,2119514,45.13825607299805
2021-07-01,2021,7,2119514,35.74629211425781
2021-08-01,2021,8,2119514,41.55513000488281
2021-09-01,2021,9,2119514,88.21795654296875
2021-10-01,2021,10,2119514,91.25692749023438
2021-11-01,2021,11,2119514,87.9656982421875
2021-12-01,2021,12,2119514,36.59712219238281
2021-01-01,2021,1,2120540,7.356964111328125
2021-02-01,2021,2,2120540,16.874820709228516
2021-03-01,2021,3,2120540,27.022193908691406
2021-04-01,2021,4,2120540,89.26260375976562
2021-05-01,2021,5,2120540,60.330421447753906
2021-06-01,2021,6,2120540,42.911293029785156
2021-07-01,2021,7,2120540,45.546424865722656
2021-08-01,2021,8,2120540,35.59611129760742
2021-09-01,2021,9,2120540,42.22891616821289
2021-10-01,2021,10,2120540,65.68574523925781
2021-11-01,2021,11,2120540,66.23387145996094
2021-12-01,2021,12,2120540,29.716590881347656
2021-01-01,2021,1,2120548,7.124063014984131
2021-02-01,2021,2,2120548,37.38536834716797
2021-03-01,2021,3,2120548,71.28728485107422
2021-04-01,2021,4,2120548,78.39364624023438
2021-05-01,2021,5,2120548,123.24308013916016
2021-06-01,2021,6,2120548,127.36661529541016
2021-07-01,2021,7,2120548,111.540283203125
2021-08-01,2021,8,2120548,96.1401138305664
2021-09-01,2021,9,2120548,67.35047912597656
2021-10-01,2021,10,2120548,76.95189666748047
2021-11-01,2021,11,2120548,49.72319030761719
2021-12-01,2021,12,2120548,18.590688705444336
2021-01-01,2021,1,2120557,26.414154052734375
2021-02-01,2021,2,2120557,63.069053649902344
2021-03-01,2021,3,2120557,91.1292953491211
2021-04-01,2021,4,2120557,161.9164581298828
2021-05-01,2021,5,2120557,151.81910705566406
2021-06-01,2021,6,2120557,52.99953842163086
2021-07-01,2021,7,2120557,33.5322380065918
2021-08-01,2021,8,2120557,41.87525177001953
2021-09-01,2021,9,2120557,88.52886199951172
2021-10-01,2021,10,2120557,111.97309875488281
