Fecha,Anio,Mes,Estacion,Precipitacion
2021-01-01,2021,1,2119514,57.66249465942383
2021-02-01,2021,2,2119514,68.1087417602539
2021-03-01,2021,3,2119514,77.21867370605469
2021-04-01,2021,4,2119514,19.890832901000977
2021-05-01,2021,5,2119514,117.59872436523438
2021-06-01,2021,6,2119514,54.324241638183594
2021-07-01,2021,7,2119514,24.711057662963867
2021-08-01,2021,8,2119514,30.931650161743164
2021-09-01,2021,9,2119514,69.2599868774414
2021-10-01,2021,10,2119514,103.25617980957031
2021-11-01,2021,11,2119514,123.9080581665039
2021-12-01,2021,12,2119514,34.37621307373047
2021-01-01,2021,1,2120540,5.849353790283203
2021-02-01,2021,2,2120540,18.590404510498047
2021-03-01,2021,3,2120540,55.651432037353516
2021-04-01,2021,4,2120540,102.9749984741211
2021-05-01,2021,5,2120540,82.67826843261719
2021-06-01,2021,6,2120540,54.60715866088867
2021-07-01,2021,7,2120540,48.366790771484375
2021-08-01,2021,8,2120540,37.94876480102539
2021-09-01,2021,9,2120540,60.41887283325195
2021-10-01,2021,10,2120540,82.16133117675781
2021-11-01,2021,11,2120540,84.61154174804688
2021-12-01,2021,12,2120540,40.660438537597656
2021-01-01,2021,1,2120548,8.898015975952148
2021-02-01,2021,2,2120548,24.148523330688477
2021-03-01,2021,3,2120548,56.215694427490234
2021-04-01,2021,4,2120548,66.42774963378906
2021-05-01,2021,5,2120548,84.04200744628906
2021-06-01,2021,6,2120548,102.87496948242188
2021-07-01,2021,7,2120548,92.88031768798828
2021-08-01,2021,8,2120548,80.60125732421875
2021-09-01,2021,9,2120548,63.49399948120117
2021-10-01,2021,10,2120548,77.87966918945312
2021-11-01,2021,11,2120548,61.569068908691406
2021-12-01,2021,12,2120548,29.072233200073242
2021-01-01,2021,1,2120557,64.3092269897461
2021-02-01,2021,2,2120557,65.00721740722656
2021-03-01,2021,3,2120557,95.84300231933594
2021-04-01,2021,4,2120557,88.40914154052734
2021-05-01,2021,5,2120557,121.08404541015625
2021-06-01,2021,6,2120557,59.836429595947266
2021-07-01,2021,7,2120557,51.720726013183594
2021-08-01,2021,8,2120557,49.611053466796875
2021-09-01,2021,9,2120557,71.76290893554688
2021-10-01,2021,10,2120557,110.95870971679688
2021-11-01,2021,11,2120557,78.06845092773438
2021-12-01,2021,12,2120557,44.158878326416016
2021-01-01,2021,1,2120559,45.665679931640625
2021-02-01,2021,2,2120559,85.28755187988281
2021-03-01,2021,3,2120559,106.63725280761719
2021-04-01,2021,4,2120559,57.52045822143555
2021-05-01,2021,5,2120559,59.00795364379883
2021-06-01,2021,6,2120559,65.18342590332031
2021-07-01,2021,7,2120559,31.590688705444336
2021-08-01,2021,8,2120559,61.24047088623047
2021-09-01,2021,9,2120559,40.0538444519043
2021-10-01,2021,10,2120559,60.544517517089844
2021-11-01,2021,11,2120559,69.44407653808594
2021-12-01,2021,12,2120559,29.82827377319336
2021-01-01,2021,1,2120561,14.01261043548584
2021-02-01,2021,2,2120561,40.408687591552734
2021-03-01,2021,3,2120561,32.457149505615234
2021-04-01,2021,4,2120561,42.349952697753906
2021-05-01,2021,5,2120561,62.28461837768555
2021-06-01,2021,6,2120561,42.91830825805664
2021-07-01,2021,7,2120561,32.811275482177734
2021-08-01,2021,8,2120561,31.495498657226562
2021-09-01,2021,9,2120561,46.601776123046875
2021-10-01,2021,10,2120561,64.6519775390625
2021-11-01,2021,11,2120561,63.23152542114258
2021-12-01,2021,12,2120561,35.340789794921875
2021-01-01,2021,1,2120562,32.26516342163086
2021-02-01,2021,2,2120562,34.48152542114258
2021-03-01,2021,3,2120562,68.39739990234375
2021-04-01,2021,4,2120562,82.08027648925781
2021-05-01,2021,5,2120562,88.78063201904297
2021-06-01,2021,6,2120562,60.831764221191406
2021-07-01,2021,7,2120562,60.07250213623047
2021-08-01,2021,8,2120562,43.7030029296875
2021-09-01,2021,9,2120562,47.41015625
2021-10-01,2021,10,2120562,86.2739486694336
2021-11-01,2021,11,2120562,66.14290618896484
2021-12-01,2021,12,2120562,46.656063079833984
2021-01-01,2021,1,2120629,3.455873966217041
2021-02-01,2021,2,2120629,69.46965789794922
2021-03-01,2021,3,2120629,59.308982849121094
2021-04-01,2021,4,2120629,61.965545654296875
2021-05-01,2021,5,2120629,139.35675048828125
2021-06-01,2021,6,2120629,53.784664154052734
2021-07-01,2021,7,2120629,20.49326515197754
2021-08-01,2021,8,2120629,35.64181137084961
2021-09-01,2021,9,2120629,71.27940368652344
2021-10-01,2021,10,2120629,102.39303588867188
2021-11-01,2021,11,2120629,98.84207916259766
2021-12-01,2021,12,2120629,56.054054260253906
2021-01-01,2021,1,2120630,9.372465133666992
