Fecha,Anio,Mes,Estacion,Precipitacion
2021-01-01,2021,1,2119514,81.32563018798828
2021-02-01,2021,2,2119514,68.26819610595703
2021-03-01,2021,3,2119514,71.9661636352539
2021-04-01,2021,4,2119514,72.25028228759766
2021-05-01,2021,5,2119514,96.37480926513672
2021-06-01,2021,6,2119514,77.16390228271484
2021-07-01,2021,7,2119514,63.7346076965332
2021-08-01,2021,8,2119514,70.80278015136719
2021-09-01,2021,9,2119514,87.41960144042969
2021-10-01,2021,10,2119514,74.70201873779297
2021-11-01,2021,11,2119514,105.81340789794922
2021-12-01,2021,12,2119514,77.67781829833984
2021-01-01,2021,1,2120540,14.035192489624023
2021-02-01,2021,2,2120540,73.26127624511719
2021-03-01,2021,3,2120540,85.99429321289062
2021-04-01,2021,4,2120540,58.44766616821289
2021-05-01,2021,5,2120540,55.27775573730469
2021-06-01,2021,6,2120540,47.852752685546875
2021-07-01,2021,7,2120540,50.333560943603516
2021-08-01,2021,8,2120540,48.702754974365234
2021-09-01,2021,9,2120540,53.266727447509766
2021-10-01,2021,10,2120540,64.28250122070312
2021-11-01,2021,11,2120540,73.08527374267578
2021-12-01,2021,12,2120540,38.48656463623047
2021-01-01,2021,1,2120548,15.654298782348633
2021-02-01,2021,2,2120548,27.031404495239258
2021-03-01,2021,3,2120548,57.36216354370117
2021-04-01,2021,4,2120548,68.39202117919922
2021-05-01,2021,5,2120548,88.49079132080078
2021-06-01,2021,6,2120548,120.58866119384766
2021-07-01,2021,7,2120548,98.30764770507812
2021-08-01,2021,8,2120548,79.91070556640625
2021-09-01,2021,9,2120548,77.24242401123047
2021-10-01,2021,10,2120548,71.55436706542969
2021-11-01,2021,11,2120548,47.58251190185547
2021-12-01,2021,12,2120548,11.850889205932617
2021-01-01,2021,1,2120557,50.503997802734375
2021-02-01,2021,2,2120557,68.85157012939453
2021-03-01,2021,3,2120557,103.50059509277344
2021-04-01,2021,4,2120557,110.27645111083984
2021-05-01,2021,5,2120557,101.84127044677734
2021-06-01,2021,6,2120557,73.20402526855469
2021-07-01,2021,7,2120557,54.770103454589844
2021-08-01,2021,8,2120557,50.13339614868164
2021-09-01,2021,9,2120557,77.98428344726562
2021-10-01,2021,10,2120557,74.89189910888672
2021-11-01,2021,11,2120557,91.31574249267578
2021-12-01,2021,12,2120557,42.34612274169922
2021-01-01,2021,1,2120559,47.42793273925781
2021-02-01,2021,2,2120559,61.48577117919922
2021-03-01,2021,3,2120559,74.08737182617188
2021-04-01,2021,4,2120559,92.10716247558594
2021-05-01,2021,5,2120559,98.46197509765625
2021-06-01,2021,6,2120559,80.39393615722656
2021-07-01,2021,7,2120559,74.50050354003906
2021-08-01,2021,8,2120559,75.6667709350586
2021-09-01,2021,9,2120559,63.544464111328125
2021-10-01,2021,10,2120559,98.11284637451172
2021-11-01,2021,11,2120559,91.40341186523438
2021-12-01,2021,12,2120559,67.32398986816406
2021-01-01,2021,1,2120561,23.08504295349121
2021-02-01,2021,2,2120561,28.60474395751953
2021-03-01,2021,3,2120561,28.560483932495117
2021-04-01,2021,4,2120561,35.67247009277344
2021-05-01,2021,5,2120561,32.673377990722656
2021-06-01,2021,6,2120561,38.75938415527344
2021-07-01,2021,7,2120561,32.30910110473633
2021-08-01,2021,8,2120561,31.486528396606445
2021-09-01,2021,9,2120561,45.126556396484375
2021-10-01,2021,10,2120561,44.457637786865234
2021-11-01,2021,11,2120561,52.02260971069336
2021-12-01,2021,12,2120561,34.98170471191406
2021-01-01,2021,1,2120562,26.807750701904297
2021-02-01,2021,2,2120562,49.85426712036133
2021-03-01,2021,3,2120562,72.43196105957031
2021-04-01,2021,4,2120562,60.02058029174805
2021-05-01,2021,5,2120562,59.190834045410156
2021-06-01,2021,6,2120562,51.279937744140625
2021-07-01,2021,7,2120562,40.286842346191406
2021-08-01,2021,8,2120562,33.33699035644531
2021-09-01,2021,9,2120562,47.88688278198242
2021-10-01,2021,10,2120562,48.96637725830078
2021-11-01,2021,11,2120562,59.39778137207031
2021-12-01,2021,12,2120562,44.24283218383789
2021-01-01,2021,1,2120629,14.10081672668457
2021-02-01,2021,2,2120629,88.8415298461914
2021-03-01,2021,3,2120629,88.74976348876953
2021-04-01,2021,4,2120629,66.65960693359375
2021-05-01,2021,5,2120629,118.18898010253906
2021-06-01,2021,6,2120629,62.81866455078125
2021-07-01,2021,7,2120629,51.03397750854492
2021-08-01,2021,8,2120629,42.51805877685547
2021-09-01,2021,9,2120629,15.670774459838867
2021-10-01,2021,10,2120629,88.37303924560547
2021-11-01,2021,11,2120629,106.3478775024414
2021-12-01,2021,12,2120629,67.99878692626953
2021-01-01,2021,1,2120630,19.98373794555664
2021-02-01,2021,2,2120630,37.72315979003906
2021-03-01,2021,3,2120630,57.520145416259766
2021-04-01,2021,4,2120630,56.13353729248047
2021-05-01,2021,5,2120630,56.57038116455078
2021-06-01,2021,6,2120630,60.94894790649414
2021-07-01,2021,7,2120630,62.009239196777344
2021-08-01,2021,8,2120630,38.831050872802734
2021-09-01,2021,9,2120630,47.052284240722656
2021-10-01,2021,10,2120630,74.38934326171875
2021-11-01,2021,11,2120630,52.31959533691406
2021-12-01,2021,12,2120630,31.84027671813965
2021-01-01,2021,1,2120639,121.19422912597656
2021-02-01,2021,2,2120639,160.82073974609375
2021-03-01,2021,3,2120639,120.0605697631836
2021-04-01,2021,4,2120639,145.4215087890625
2021-05-01,2021,5,2120639,92.14112091064453
2021-06-01,2021,6,2120639,67.94709777832031
2021-07-01,2021,7,2120639,66.64945220947266
2021-08-01,2021,8,2120639,91.32023620605469
2021-09-01,2021,9,2120639,142.4010772705078
2021-10-01,2021,10,2120639,208.06576538085938
2021-11-01,2021,11,2120639,204.49578857421875
2021-12-01,2021,12,2120639,152.0269775390625
2021-01-01,2021,1,2120641,100.39672088623047
2021-02-01,2021,2,2120641,77.98661804199219
2021-03-01,2021,3,2120641,73.87310028076172
2021-04-01,2021,4,2120641,95.9682846069336
2021-05-01,2021,5,2120641,92.0217056274414
2021-06-01,2021,6,2120641,23.137653350830078
2021-07-01,2021,7,2120641,39.627960205078125
2021-08-01,2021,8,2120641,67.64346313476562
2021-09-01,2021,9,2120641,59.526798248291016
2021-10-01,2021,10,2120641,107.4797592163086
2021-11-01,2021,11,2120641,99.1039810180664
2021-12-01,2021,12,2120641,89.94878387451172
2021-01-01,2021,1,2120644,44.29750442504883
2021-02-01,2021,2,2120644,97.02278137207031
2021-03-01,2021,3,2120644,156.19900512695312
2021-04-01,2021,4,2120644,255.9036102294922
2021-05-01,2021,5,2120644,242.35787963867188
2021-06-01,2021,6,2120644,86.71249389648438
2021-07-01,2021,7,2120644,42.08163833618164
2021-08-01,2021,8,2120644,10.229618072509766
2021-09-01,2021,9,2120644,36.12108612060547
2021-10-01,2021,10,2120644,168.28475952148438
2021-11-01,2021,11,2120644,106.2671890258789
2021-12-01,2021,12,2120644,55.15296936035156
2021-01-01,2021,1,2120646,59.862937927246094
2021-02-01,2021,2,2120646,88.47675323486328
2021-03-01,2021,3,2120646,95.1019058227539
2021-04-01,2021,4,2120646,137.14071655273438
2021-05-01,2021,5,2120646,194.40223693847656
2021-06-01,2021,6,2120646,117.00598907470703
2021-07-01,2021,7,2120646,60.812355041503906
2021-08-01,2021,8,2120646,57.17253494262695
2021-09-01,2021,9,2120646,114.76904296875
2021-10-01,2021,10,2120646,127.41693115234375
2021-11-01,2021,11,2120646,185.58656311035156
2021-12-01,2021,12,2120646,90.05326843261719
2021-01-01,2021,1,2120647,101.38162231445312
2021-02-01,2021,2,2120647,113.28866577148438
2021-03-01,2021,3,2120647,130.1139678955078
2021-04-01,2021,4,2120647,159.99331665039062
2021-05-01,2021,5,2120647,179.7972869873047
2021-06-01,2021,6,2120647,155.27638244628906
2021-07-01,2021,7,2120647,98.71881866455078
2021-08-01,2021,8,2120647,55.85674285888672
2021-09-01,2021,9,2120647,128.64036560058594
2021-10-01,2021,10,2120647,124.17594909667969
2021-11-01,2021,11,2120647,201.51815795898438
2021-12-01,2021,12,2120647,127.83370208740234
2021-01-01,2021,1,2306507,93.57694244384766
2021-02-01,2021,2,2306507,130.45111083984375
2021-03-01,2021,3,2306507,106.77513122558594
2021-04-01,2021,4,2306507,119.27857208251953
2021-05-01,2021,5,2306507,118.58509826660156
2021-06-01,2021,6,2306507,76.8329086303711
2021-07-01,2021,7,2306507,42.29157257080078
2021-08-01,2021,8,2306507,78.52992248535156
2021-09-01,2021,9,2306507,94.74699401855469
2021-10-01,2021,10,2306507,126.6192855834961
2021-11-01,2021,11,2306507,161.17532348632812
2021-12-01,2021,12,2306507,116.13458251953125
2021-01-01,2021,1,2306516,173.2406005859375
2021-02-01,2021,2,2306516,291.0758056640625
2021-03-01,2021,3,2306516,121.14400482177734
2021-04-01,2021,4,2306516,142.93771362304688
2021-05-01,2021,5,2306516,76.81039428710938
2021-06-01,2021,6,2306516,59.43427276611328
2021-07-01,2021,7,2306516,30.59906768798828
2021-08-01,2021,8,2306516,59.07380676269531
2021-09-01,2021,9,2306516,85.40048217773438
2021-10-01,2021,10,2306516,124.5709457397461
2021-11-01,2021,11,2306516,230.22833251953125
2021-12-01,2021,12,2306516,153.0433349609375
2021-01-01,2021,1,2306517,135.62060546875
2021-02-01,2021,2,2306517,77.11869049072266
2021-03-01,2021,3,2306517,121.32643127441406
2021-04-01,2021,4,2306517,126.40538024902344
2021-05-01,2021,5,2306517,149.7377471923828
2021-06-01,2021,6,2306517,57.6943359375
2021-07-01,2021,7,2306517,52.78654479980469
2021-08-01,2021,8,2306517,57.49104690551758
2021-09-01,2021,9,2306517,104.54720306396484
2021-10-01,2021,10,2306517,141.2537841796875
2021-11-01,2021,11,2306517,87.43315124511719
2021-12-01,2021,12,2306517,86.50371551513672
2021-01-01,2021,1,2401513,27.987390518188477
2021-02-01,2021,2,2401513,46.37087631225586
2021-03-01,2021,3,2401513,62.543766021728516
2021-04-01,2021,4,2401513,83.53825378417969
2021-05-01,2021,5,2401513,78.50718688964844
2021-06-01,2021,6,2401513,71.54118347167969
2021-07-01,2021,7,2401513,51.739585876464844
2021-08-01,2021,8,2401513,33.28293991088867
2021-09-01,2021,9,2401513,53.1736946105957
2021-10-01,2021,10,2401513,78.07344055175781
2021-11-01,2021,11,2401513,79.07584381103516
2021-12-01,2021,12,2401513,31.567291259765625
2021-01-01,2021,1,2401519,13.5352201461792
2021-02-01,2021,2,2401519,43.105045318603516
2021-03-01,2021,3,2401519,71.95532989501953
2021-04-01,2021,4,2401519,98.90966796875
2021-05-01,2021,5,2401519,53.17790603637695
2021-06-01,2021,6,2401519,59.7677116394043
2021-07-01,2021,7,2401519,45.3493766784668
2021-08-01,2021,8,2401519,80.73866271972656
2021-09-01,2021,9,2401519,70.64515686035156
2021-10-01,2021,10,2401519,82.16202545166016
2021-11-01,2021,11,2401519,78.29647827148438
2021-12-01,2021,12,2401519,33.85462188720703
