Fecha,Anio,Mes,Estacion,Precipitacion,Temperatura,Humedad,BrilloSolar
1957-02-01,1957,02,2120629,56.2,,,
1958-02-01,1958,02,2120629,145.5,,,
1959-02-01,1959,02,2120629,37.5,,,
1960-02-01,1960,02,2120629,95.4,,,
1961-02-01,1961,02,2120629,41.8,,,
1962-02-01,1962,02,2120629,77.4,,,
1963-02-01,1963,02,2120629,137.4,,,
1964-02-01,1964,02,2120629,41.8,,,
1965-02-01,1965,02,2120629,16.3,,,
1966-02-01,1966,02,2120629,39,,,
1967-02-01,1967,02,2120629,70.5,,,
1968-02-01,1968,02,2120629,69.1,,,
1969-02-01,1969,02,2120629,64.9,,,
1970-02-01,1970,02,2120629,13.9,,,
1971-02-01,1971,02,2120629,116.5,,,
1972-02-01,1972,02,2120629,62.5,,,
1973-02-01,1973,02,2120629,17,,,
1974-02-01,1974,02,2120629,134.5,,,
1975-02-01,1975,02,2120629,57.9,,,
1976-02-01,1976,02,2120629,70,,,
1977-02-01,1977,02,2120629,39,,,
1978-02-01,1978,02,2120629,39.5,,,
1979-02-01,1979,02,2120629,15,,,
1980-02-01,1980,02,2120629,142,,,
1981-02-01,1981,02,2120629,20.3,,,
1982-02-01,1982,02,2120629,200.3,,,
1983-02-01,1983,02,2120629,23,,,
1984-02-01,1984,02,2120629,49.1,,,
1985-02-01,1985,02,2120629,39.5,11.1,86,124
1986-02-01,1986,02,2120629,68.1,11.4,,120.4
1987-02-01,1987,02,2120629,24,,,
1988-02-01,1988,02,2120629,111.7,,,
1989-02-01,1989,02,2120629,145,,,
1990-02-01,1990,02,2120629,156,,,
1991-02-01,1991,02,2120629,36.2,14.3,75,149.8
1992-02-01,1992,02,2120629,27.7,13.8,76,156.9
1993-02-01,1993,02,2120629,174.3,10.7,83,147.5
1994-02-01,1994,02,2120629,72.2,12.6,81,126.8
1995-02-01,1995,02,2120629,38,12.6,75,171.2
1996-02-01,1996,02,2120629,29.1,11.9,71,110.1
1997-02-01,1997,02,2120629,33,14.2,69,166
1998-02-01,1998,02,2120629,69.3,14.4,68,170.5
1999-02-01,1999,02,2120629,67.3,11.9,83,86.2
2000-02-01,2000,02,2120629,24.1,12.4,90,116.6
2001-02-01,2001,02,2120629,35.3,13,85,107.5
2002-02-01,2002,02,2120629,27.8,13.1,60,180.4
2003-02-01,2003,02,2120629,111.2,13.1,85,167.1
2004-02-01,2004,02,2120629,76,,,172.9
2005-02-01,2005,02,2120629,40.2,,,153.6
2006-02-01,2006,02,2120629,26,12.6,84,166.8
2007-02-01,2007,02,2120629,31,11.7,85,
2008-02-01,2008,02,2120629,51,11.5,90,144.2
2009-02-01,2009,02,2120629,44,12.8,86,146.9
2010-02-01,2010,02,2120629,22.5,13.2,89,160.8
2011-02-01,2011,02,2120629,61,12.4,91,115.6
2012-02-01,2012,02,2120629,52.4,12.3,80,169.4
2013-02-01,2013,02,2120629,102.1,12.5,90,114.1
2014-02-01,2014,02,2120629,49.4,12.9,87,151.5
