Fecha,Anio,Mes,Estacion,Precipitacion
2021-01-01,2021,1,2119514,43.73039627075195
2021-02-01,2021,2,2119514,56.90236282348633
2021-03-01,2021,3,2119514,65.35724639892578
2021-04-01,2021,4,2119514,5.605264186859131
2021-05-01,2021,5,2119514,71.43634033203125
2021-06-01,2021,6,2119514,30.28959846496582
2021-07-01,2021,7,2119514,27.622522354125977
2021-08-01,2021,8,2119514,17.6476993560791
2021-09-01,2021,9,2119514,35.892059326171875
2021-10-01,2021,10,2119514,94.343017578125
2021-11-01,2021,11,2119514,99.3968276977539
2021-12-01,2021,12,2119514,23.029016494750977
2021-01-01,2021,1,2120540,14.689071655273438
2021-02-01,2021,2,2120540,48.193931579589844
2021-03-01,2021,3,2120540,81.86872863769531
2021-04-01,2021,4,2120540,76.751220703125
2021-05-01,2021,5,2120540,63.54555130004883
2021-06-01,2021,6,2120540,47.566162109375
2021-07-01,2021,7,2120540,39.545135498046875
2021-08-01,2021,8,2120540,35.879486083984375
2021-09-01,2021,9,2120540,31.79332733154297
2021-10-01,2021,10,2120540,75.7734375
2021-11-01,2021,11,2120540,74.33456420898438
2021-12-01,2021,12,2120540,40.50344467163086
2021-01-01,2021,1,2120548,14.018495559692383
2021-02-01,2021,2,2120548,46.688819885253906
2021-03-01,2021,3,2120548,86.89259338378906
2021-04-01,2021,4,2120548,52.35300064086914
2021-05-01,2021,5,2120548,61.89891815185547
2021-06-01,2021,6,2120548,109.0027847290039
2021-07-01,2021,7,2120548,87.90962219238281
2021-08-01,2021,8,2120548,73.18515014648438
2021-09-01,2021,9,2120548,56.93439865112305
2021-10-01,2021,10,2120548,80.26408386230469
2021-11-01,2021,11,2120548,56.9119873046875
2021-12-01,2021,12,2120548,21.1771183013916
2021-01-01,2021,1,2120557,55.0737419128418
2021-02-01,2021,2,2120557,49.24833679199219
2021-03-01,2021,3,2120557,120.46930694580078
2021-04-01,2021,4,2120557,106.00001525878906
2021-05-01,2021,5,2120557,115.75486755371094
2021-06-01,2021,6,2120557,55.14301681518555
2021-07-01,2021,7,2120557,41.44724655151367
2021-08-01,2021,8,2120557,46.38189697265625
2021-09-01,2021,9,2120557,84.539306640625
2021-10-01,2021,10,2120557,102.66140747070312
2021-11-01,2021,11,2120557,78.61194610595703
2021-12-01,2021,12,2120557,39.79438781738281
2021-01-01,2021,1,2120559,45.326026916503906
2021-02-01,2021,2,2120559,80.24937438964844
2021-03-01,2021,3,2120559,98.74462127685547
2021-04-01,2021,4,2120559,77.2047348022461
2021-05-01,2021,5,2120559,105.23006439208984
2021-06-01,2021,6,2120559,50.90230941772461
2021-07-01,2021,7,2120559,37.65602111816406
2021-08-01,2021,8,2120559,78.82181549072266
2021-09-01,2021,9,2120559,40.868064880371094
2021-10-01,2021,10,2120559,65.46194458007812
2021-11-01,2021,11,2120559,75.42236328125
2021-12-01,2021,12,2120559,6.048880100250244
2021-01-01,2021,1,2120561,8.989977836608887
2021-02-01,2021,2,2120561,35.25505065917969
2021-03-01,2021,3,2120561,49.93579864501953
2021-04-01,2021,4,2120561,63.07639694213867
2021-05-01,2021,5,2120561,70.16505432128906
2021-06-01,2021,6,2120561,37.46196365356445
2021-07-01,2021,7,2120561,30.226716995239258
2021-08-01,2021,8,2120561,25.370018005371094
2021-09-01,2021,9,2120561,45.64399719238281
2021-10-01,2021,10,2120561,62.464447021484375
2021-11-01,2021,11,2120561,57.34141540527344
2021-12-01,2021,12,2120561,33.987823486328125
2021-01-01,2021,1,2120562,25.830493927001953
2021-02-01,2021,2,2120562,50.67365264892578
2021-03-01,2021,3,2120562,68.1616439819336
2021-04-01,2021,4,2120562,83.5682601928711
2021-05-01,2021,5,2120562,59.05754089355469
2021-06-01,2021,6,2120562,77.18730926513672
2021-07-01,2021,7,2120562,66.42481994628906
2021-08-01,2021,8,2120562,44.784080505371094
2021-09-01,2021,9,2120562,47.60468292236328
2021-10-01,2021,10,2120562,78.1127700805664
2021-11-01,2021,11,2120562,64.2616195678711
2021-12-01,2021,12,2120562,48.06057357788086
2021-01-01,2021,1,2120629,2.7835564613342285
2021-02-01,2021,2,2120629,65.45004272460938
2021-03-01,2021,3,2120629,57.270565032958984
2021-04-01,2021,4,2120629,43.59473419189453
2021-05-01,2021,5,2120629,142.62911987304688
2021-06-01,2021,6,2120629,41.20098114013672
2021-07-01,2021,7,2120629,16.194364547729492
2021-08-01,2021,8,2120629,48.34341049194336
2021-09-01,2021,9,2120629,78.14933013916016
2021-10-01,2021,10,2120629,112.85836029052734
2021-11-01,2021,11,2120629,85.25387573242188
2021-12-01,2021,12,2120629,58.85284423828125
2021-01-01,2021,1,2120630,7.215371608734131
2021-02-01,2021,2,2120630,58.72966766357422
2021-03-01,2021,3,2120630,78.38045501708984
